ID,Nom,Statut,Latitude,Longitude,Annee_implante
100041114,Eco-Display Parc Stanley,Actif,45.55759297,-73.67322198,2018
100002880,Pont Jacques-Cartier,En maintenance,45.52550826,-73.55442203,2011
100003032,Berri1,Actif,45.516216,-73.56297,2010
100003034,Rachel / Papineau,Actif,45.53044783,-73.56954036,2007
100003039,Maisonneuve / Peel,Actif,45.500507,-73.57497,2008
100003040,Pierre-Dupuy,Actif,45.50127,-73.54441,2010
100003041,Côte Sainte-Catherine / Stuart,Actif,45.5149,-73.607506,2010
100003042,Parc / Duluth,Actif,45.51385,-73.58151,2010
100004575,Brébeuf / Rachel,Actif,45.527496,-73.57432,2009
100007390,Eco-Display - Métro Laurier,Actif,45.5277722,-73.58883237,2013
100011748,René-Lévesque / Wolfe,Actif,45.516968,-73.55404,2013
100011783,Maisonneuve / Marcil,Actif,45.470493,-73.609566,2013
100012217,Rachel / HôteldeVille,Actif,45.51962,-73.58025,2013
100012218,Boyer / Rosemont,Actif,45.53365,-73.59459,2013
100017441,University / Milton,Actif,45.506134,-73.57587,2013
100017523,Saint-Urbain,Actif,45.5193951,-73.58866311,2014
100025474,Saint-Laurent/Bellechasse,Actif,45.52781954,-73.60311217,2016
100034805,Gouin / Lajeunesse,Inactif,45.55766079,-73.6734252,2017
100035408,Boyer / Everett,Actif,45.54346079,-73.61668337,2017
100035409,Christophe-Colomb/Louvain,Actif,45.55773,-73.64662,2017
100041101,Edmond Valade,En maintenance,45.54168,-73.68448,2017
100001753,Notre-Dame,Actif,45.530216,-73.544426,2013
100047030,Viger / Saint-Urbain,Actif,45.50600885,-73.55960265,2013
100052600,Rachel 3 (Angus),Actif,45.54327681,-73.56190718,2019
100052601,Pont Ile Bizard,En maintenance,45.48622152,-73.86606424,2019
100052602,Pont Le Gardeur,Actif,45.70089562,-73.48325231,2019
100052603,Piste Des Carrières,Actif,45.53416013,-73.59146415,2019
100052604,Estacade,EnMaintenance,45.46675097,-73.53382547,2019
100052605,Notre-Dame Est / Bellerive,Actif,45.59192916,-73.51000707,2019
100052606,Bennett / Ontario,En maintenance,45.55508439,-73.53881875,2019
100053055,Sainte-Croix / Du Collège Sainte-Croix,Actif,45.51174248,-73.67253108,2019
100053057,Bord-du-Lac vers est,Inactif_Déplacé,45.44692243,-73.78279125,2019
100053058,Bord-du-Lac vers ouest,Inactif_Déplacé,45.44699363,-73.78264165,2019
100053059,Valois / la Fontaine,Actif,45.54684414,-73.54238788,2019
100053210,Souligny / Saint-Émile,Actif,45.59553765,-73.52043545,2019
100054073,16e Avenue / Bélanger,Actif,45.56071317,-73.59063629,2019
100055268,Rachel / Pie IX,Actif,45.55364653,-73.55576003,2020
100056188,Maisonneuve / Plessis,En maintenance,45.52133353,-73.55549918,2019
100057050,Maurice-Duplessis,Actif,45.65913035,-73.54248335,2019
100057051,Querbes / St-Roch,Actif,45.53016421,-73.62942809,2019
100057052,Wellington / Charlevoix,Actif,45.4738879,-73.56183075,2019
100057053,Maisonneuve / Vendôme,Actif,45.4737062,-73.60486182,2019
100057500,Maisonneuve / Berri,Inactif_Travaux,45.5149245,-73.56137946,2008
100053209,Camillien-Houde 1,Actif,45.50861582,-73.59116352,2019
100054241,McGill / William,Actif,45.49983514,-73.5560498,2020
100054585,Remembrance,En maintenance,45.50160318,-73.59793407,2019
300014916,REV Bellechasse / 13ème,Actif,45.55546273,-73.58104527,2021
300014994,REV Berri/Sauvé dir sud,Actif,45.55089409,-73.65644217,2021
300014993,REV Lajeunesse/Sauvé dir nord,Actif,45.55145841,-73.6550343,2020
300014986,REV St-Denis/Carrières dir nord,Actif,45.53052687,-73.59711707,2020
300014985,REV St-Denis/Carrières dir sud,Actif,45.53027133,-73.5969615,2020
300014995,REV St-Denis/Duluth dir nord,Actif,45.52085688,-73.57602954,2020
300014996,REV St-Denis/Rachel dir sud,Actif,45.52162362,-73.57789636,2020
300021685,A25/Gouin,Actif,45.63159,-73.61337,2021
300022314,REV 4 Peel/Notre Dame,Actif,45.49538613,-73.56296352,2022
